~id,~label,name:string,lat:double,lon:double,color:string
Silver Spring,STATION,Silver Spring,38.993841,-77.031321,red
Rosslyn,STATION,Rosslyn,38.896595,-77.07146,blue
Farragut North,STATION,Farragut North,38.903192,-77.039766,red
Southern Avenue,STATION,Southern Avenue,38.840974,-76.97536,green
West Hyattsville,STATION,West Hyattsville,38.954931,-76.969881,green
Congress Heights,STATION,Congress Heights,38.845334,-76.98817,green
Archives-Navy Memorial-Penn Quarter,STATION,Archives-Navy Memorial-Penn Quarter,38.893893,-77.021902,green
Waterfront,STATION,Waterfront,38.876221,-77.017491,green
Grosvenor-Strathmore,STATION,Grosvenor-Strathmore,39.029158,-77.10415,red
Minnesota Ave,STATION,Minnesota Ave,38.898284,-76.948042,orange
Braddock Road,STATION,Braddock Road,38.814009,-77.053763,blue
East Falls Church,STATION,East Falls Church,38.885841,-77.157177,orange
Capitol South,STATION,Capitol South,38.884968,-77.005137,blue
Naylor Road,STATION,Naylor Road,38.851187,-76.956565,green
Van Dorn Street,STATION,Van Dorn Street,38.799193,-77.129407,blue
Cleveland Park,STATION,Cleveland Park,38.934703,-77.058226,red
Court House,STATION,Court House,38.891499,-77.08391,orange
Arlington Cemetery,STATION,Arlington Cemetery,38.884574,-77.063108,blue
Mt Vernon Sq 7th St-Convention Center,STATION,Mt Vernon Sq 7th St-Convention Center,38.905604,-77.022256,green
Pentagon,STATION,Pentagon,38.869349,-77.054013,blue
Branch Ave,STATION,Branch Ave,38.826995,-76.912134,green
Potomac Ave,STATION,Potomac Ave,38.880841,-76.985721,blue
Union Station,STATION,Union Station,38.897723,-77.006745,red
College Park-U of Md,STATION,College Park-U of Md,38.978523,-76.928432,green
Forest Glen,STATION,Forest Glen,39.015413,-77.042953,red
Anacostia,STATION,Anacostia,38.862072,-76.995648,green
Vienna/Fairfax-GMU,STATION,Vienna/Fairfax-GMU,38.877693,-77.271562,orange
Largo Town Center,STATION,Largo Town Center,38.9008,-76.8449,blue
U Street/African-Amer Civil War Memorial/Cardozo,STATION,U Street/African-Amer Civil War Memorial/Cardozo,38.916489,-77.028938,green
Glenmont,STATION,Glenmont,39.061713,-77.05341,red
Franconia-Springfield,STATION,Franconia-Springfield,38.766129,-77.168797,blue
L'Enfant Plaza,STATION,L'Enfant Plaza,38.884775,-77.021964,green
Navy Yard-Ballpark,STATION,Navy Yard-Ballpark,38.876588,-77.005086,green
Clarendon,STATION,Clarendon,38.886373,-77.096963,orange
Greenbelt,STATION,Greenbelt,39.011036,-76.911362,green
NoMa-Gallaudet U,STATION,NoMa-Gallaudet U,38.907407,-77.002961,red
McLean,STATION,McLean,38.924478,-77.210167,silver
Woodley Park-Zoo/Adams Morgan,STATION,Woodley Park-Zoo/Adams Morgan,38.924999,-77.052648,red
Shaw-Howard U,STATION,Shaw-Howard U,38.912919,-77.022194,green
Federal Triangle,STATION,Federal Triangle,38.893757,-77.028218,blue
Tysons Corner,STATION,Tysons Corner,38.920056,-77.223314,silver
Federal Center SW,STATION,Federal Center SW,38.884958,-77.01586,blue
New Carrollton,STATION,New Carrollton,38.947674,-76.872144,orange
Friendship Heights,STATION,Friendship Heights,38.960744,-77.085969,red
Huntington,STATION,Huntington,38.793841,-77.075301,yellow
King St-Old Town,STATION,King St-Old Town,38.806474,-77.061115,blue
Crystal City,STATION,Crystal City,38.85779,-77.050589,blue
White Flint,STATION,White Flint,39.048043,-77.113131,red
Takoma,STATION,Takoma,38.975532,-77.017834,red
Smithsonian,STATION,Smithsonian,38.888022,-77.028232,blue
Bethesda,STATION,Bethesda,38.984282,-77.094431,red
Shady Grove,STATION,Shady Grove,39.119819,-77.164921,red
Prince George's Plaza,STATION,Prince George's Plaza,38.965276,-76.956182,green
Dunn Loring-Merrifield,STATION,Dunn Loring-Merrifield,38.883015,-77.228939,orange
Judiciary Square,STATION,Judiciary Square,38.896084,-77.016643,red
Stadium-Armory,STATION,Stadium-Armory,38.88594,-76.977485,blue
Gallery Pl-Chinatown,STATION,Gallery Pl-Chinatown,38.89834,-77.021851,green
Brookland-CUA,STATION,Brookland-CUA,38.933234,-76.994544,red
Eastern Market,STATION,Eastern Market,38.884124,-76.995334,blue
Van Ness-UDC,STATION,Van Ness-UDC,38.94362,-77.063511,red
Capitol Heights,STATION,Capitol Heights,38.889757,-76.913382,blue
Rockville,STATION,Rockville,39.084215,-77.146424,red
Greensboro,STATION,Greensboro,38.919749,-77.235192,silver
Rhode Island Ave-Brentwood,STATION,Rhode Island Ave-Brentwood,38.920741,-76.995984,red
Fort Totten,STATION,Fort Totten,38.951777,-77.002174,green
West Falls Church-VT/UVA,STATION,West Falls Church-VT/UVA,38.90067,-77.189394,orange
Columbia Heights,STATION,Columbia Heights,38.928672,-77.032775,green
Suitland,STATION,Suitland,38.843891,-76.932022,green
Eisenhower Avenue,STATION,Eisenhower Avenue,38.800313,-77.071173,yellow
Foggy Bottom-GWU,STATION,Foggy Bottom-GWU,38.900599,-77.050273,blue
Ballston-MU,STATION,Ballston-MU,38.882071,-77.111845,orange
Pentagon City,STATION,Pentagon City,38.863045,-77.059507,blue
Metro Center,STATION,Metro Center,38.898303,-77.028099,blue
Morgan Boulevard,STATION,Morgan Boulevard,38.8913,-76.8682,blue
Wheaton,STATION,Wheaton,39.038558,-77.051098,red
Virginia Square-GMU,STATION,Virginia Square-GMU,38.88331,-77.104267,orange
Addison Road-Seat Pleasant,STATION,Addison Road-Seat Pleasant,38.886713,-76.893592,blue
Tenleytown-AU,STATION,Tenleytown-AU,38.947808,-77.079615,red
Deanwood,STATION,Deanwood,38.907734,-76.936177,orange
Medical Center,STATION,Medical Center,38.999947,-77.097253,red
Georgia Ave-Petworth,STATION,Georgia Ave-Petworth,38.936077,-77.024728,green
Dupont Circle,STATION,Dupont Circle,38.909499,-77.04362,red
McPherson Square,STATION,McPherson Square,38.901316,-77.033652,blue
Landover,STATION,Landover,38.934411,-76.890988,orange
Spring Hill,STATION,Spring Hill,38.929273,-77.241988,silver
Ronald Reagan Washington National Airport,STATION,Ronald Reagan Washington National Airport,38.852985,-77.043805,blue
Benning Road,STATION,Benning Road,38.890488,-76.938291,blue
Farragut West,STATION,Farragut West,38.901311,-77.03981,blue
Twinbrook,STATION,Twinbrook,39.062359,-77.121113,red
Wiehle-Reston East,STATION,Wiehle-Reston East,38.947753,-77.340179,silver
Cheverly,STATION,Cheverly,38.91652,-76.915427,orange
